Areaal,source,target,mapping,,
ALG,/bgt.x,buitenFds/ad.adres_tbl,,,
ALG,buitenFds/ad.adres_tbl,/gisib.Adres,,,
ALG,Functioneel/ad.functioneelGebied_v,/gisib.x,,,
ALG,Functioneel/ad.gebiedscontractregio_v,/gisib.Gebiedscontractregio,,,
ALG,Opdelend/ad.ongeclassificeerdObject_v,/gisib.x,,,
ALG,Opdelend/ad.overbruggingsdeel_v,/gisib.x,,,
ALG,Opdelend/ad.pand_v,/gisib.x,,,
ALG,buitenFds/ad.plaatsbepalingspunt_p,/gisib.x,,,
ALG,/bgt.x,Functioneel/ad.theorHectometrering_p,,,
ALG,Functioneel/ad.theorHectometrering_p,/gisib.Theoretische hectometrering,,,
ALG,Functioneel/ad.traject_v,/gisib.Traject,,,
ALG,Opdelend/ad.tunneldeel_v,/gisib.x,,,
ALG,/bgt.functioneelGebied_v,Functioneel/ad.functioneelGebied_v,,,
ALG,/bgt.ongeclassificeerdObject_v,Opdelend/ad.ongeclassificeerdObject_v,,,
ALG,/bgt.openbareRuimte_v,/ad.x,,,
ALG,/bgt.openbareRuimteLabel_v,/ad.x,,,
ALG,/bgt.pand_v,Opdelend/ad.pand_v,,,
ALG,/bgt.pandHuisnummerreeks_t,Opdelend/ad.pandHuisnummerreeks_t,,,
ALG,Opdelend/ad.pandHuisnummerreeks_t,/gisib.x,,,
ALG,/bgt.plaatsbepalingspunt_p,buitenFds/ad.plaatsbepalingspunt_p,,,
ALG,/bgt.waterschap_v,/ad.x,,,
ALG,/bgt.wijk_v,/ad.x,,,
ALG,/bgt.x,Functioneel/ad.gebiedscontractregio_v,,,
ALG,/bgt.x,Functioneel/ad.traject_v,,,
KW,/bgt.x,buitenFds/ad.bouwdeelGeluidsscherm_tbl,,,
KW,buitenFds/ad.bouwdeelGeluidsscherm_tbl,/gisib.Bouwdeel,,,
KW,/bgt.x,buitenFds/ad.bouwdeelKunstwerk_tbl,,,
KW,buitenFds/ad.bouwdeelKunstwerk_tbl,/gisib.Bouwdeel,,,
KW,/bgt.x,Inrichtend/ad.geluidwerendeVoorziening_l,,,
KW,Inrichtend/ad.geluidwerendeVoorziening_l,/gisib.Geluidwerende voorziening,,,
KW,/bgt.x,Inrichtend/ad.kunstwerkBeweegbaar_p,,,
KW,Inrichtend/ad.kunstwerkBeweegbaar_p,/gisib.Beheerobject,,,
KW,Inrichtend/ad.kunstwerkdeel_l,/gisib.Overig kunstwerk,,,
KW,Inrichtend/ad.kunstwerkdeel_mp,/gisib.x,,,
KW,Opdelend/ad.kunstwerkdeel_v,/gisib.Stuw,typespec = Stuw: onbekend,,
KW,Opdelend/ad.kunstwerkdeel_v,/gisib.Overig Bouwwerk,,,
KW,/bgt.x,Inrichtend/ad.kunstwerkVast_p,,,
KW,Inrichtend/ad.kunstwerkVast_p,/gisib.Beheerobject,,,
KW,/bgt.x,buitenFds/ad.kwElement_tbl,,,
KW,buitenFds/ad.kwElement_tbl,/gisib.Kunstwerk element  element,,,
KW,Inrichtend/ad.scheidingGeluidsscherm_l,/gisib.Geluidwerende constructie,,,
KW,Inrichtend/ad.schutsluis_p,/gisib.Schutsluis,,,
KW,/ad.x,/gisib.Complex,,,
KW,/bgt.kunstwerkdeel_l,Inrichtend/ad.kunstwerkdeel_l,,,
KW,/bgt.kunstwerkdeel_mp,Inrichtend/ad.kunstwerkdeel_mp,,,
