Areaal,source,target,mapping
GRVERH,Opdelend/ad.begroeidTerreindeel_v,/gisib.x,
GRVERH,Opdelend/ad.begroeidTerreindeelBerm_v,/gisib.Berm,
GRVERH,Opdelend/ad.begroeidTerreindeelBermKruin_l,/gisib.x,
GRVERH,Opdelend/ad.begroeidTerreindeelKruin_l,/gisib.x,
GRVERH,Opdelend/ad.begroeidTerreindeelPlantvak_v,/gisib.Plantvak,
GRVERH,Opdelend/ad.begroeidTerreindeelPvKr_l,/gisib.x,
GRVERH,buitenFds/ad.beschoeiingInspectie_tbl,/gisib.Inspectie beschoeiing LM,
GRVERH,buitenFds/ad.crowInspectie_tbl,/gisib.CROW Weginspectie,
GRVERH,buitenFds/ad.crowInspectieresultaat_tbl,/gisib.CROW Weginspectie,
GRVERH,buitenFds/ad.crowMeting_tbl,/gisib.Wegvakonderdeel,
GRVERH,Functioneel/ad.ecoHoofdstructuur_v,/gisib.Ecologische Hoofdstructuur,
GRVERH,Functioneel/ad.ecoVerbZone_v,/gisib.Ecologische Verbindingszone,
GRVERH,Functioneel/ad.faunavoorziening_v,/gisib.Faunavoorziening,
GRVERH,Functioneel/ad.kruispunt_p,/gisib.Kruispunt,
GRVERH,Opdelend/ad.onbegroeidTerreindeel_v,/gisib.Oeverbescherming,
GRVERH,Opdelend/ad.onbegroeidTerreindeel_v,/gisib.x,
GRVERH,Opdelend/ad.onbegroeidTerreindeelKruin_l,/gisib.x,
GRVERH,Opdelend/ad.ondersteunendWaterdeel_v,/gisib.Plasberm,typespec = Plasberm
GRVERH,Opdelend/ad.ondersteunendWaterdeel_v,/gisib.Oeverbescherming,
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/gisib.Berm,typespec = Berm: onbekend
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/gisib.Ondersteunend wegvakonderdeel,
GRVERH,Opdelend/ad.ondersteunendWegdeelKruin_l,/gisib.x,
GRVERH,Opdelend/ad.ondersteunendWegdeelPlantvak_v,/gisib.Rotonde,
GRVERH,Functioneel/ad.recreatieplek_v,/gisib.Recreatieplek,
GRVERH,Inrichtend/ad.vegetatieObject_l,/gisib.Heg,
GRVERH,Inrichtend/ad.vegetatieObject_p,/gisib.Boom,
GRVERH,Inrichtend/ad.vegetatieObject_v,/gisib.x,
GRVERH,buitenFds/ad.vtaInspectie_tbl,/gisib.VTA Inspectie,
GRVERH,Inrichtend/ad.waterloop_l,/gisib.Waterloop,
GRVERH,Functioneel/ad.weg_l,/gisib.Weg,
GRVERH,Opdelend/ad.wegdeel_v,/gisib.Wegvakonderdeel,
GRVERH,Opdelend/ad.wegdeelKruin_l,/gisib.x,
GRVERH,Opdelend/ad.wegdeelPerron_v,/gisib.Perron,
GRVERH,Inrichtend/ad.weginrichtingselement_l,/gisib.Geleiderail,
GRVERH,Inrichtend/ad.weginrichtingselement_p,/gisib.x,
GRVERH,Inrichtend/ad.weginrichtingselement_v,/gisib.Plantvak,
GRVERH,Functioneel/ad.wegvak_v,/gisib.Wegvak,
GRVERH,/ad.x,/gisib.Beschoeiing LM reparatie,
GRVERH,/ad.x,/gisib.Nweg foto,
GRVERH,/ad.x,/gisib.Planten soort verdeling,
GRVERH,/bgt.begroeidTerreindeel_v,Opdelend/ad.begroeidTerreindeel_v,
GRVERH,/bgt.begroeidTerreindeel_v,Opdelend/ad.begroeidTerreindeelBerm_v,fysiekvoorkomen = groenvoorziening:gras- en kruidachtigen
GRVERH,/bgt.begroeidTerreindeel_v,Opdelend/ad.begroeidTerreindeelPlantvak_v,fysiekvoorkomen = loofbos | groenvoorziening:struikrozen | planten | heesters | bosplantsoen | bodembedekkers
GRVERH,/bgt.begroeidTerreindeelKruin_l,Opdelend/ad.begroeidTerreindeelKruin_l,
GRVERH,/bgt.begroeidTerreindeelKruin_l,Opdelend/ad.begroeidTerreindeelBermKruin_l,
GRVERH,/bgt.begroeidTerreindeelKruin_l,Opdelend/ad.begroeidTerreindeelPvKr_l,
GRVERH,/bgt.onbegroeidTerreindeel_v,Opdelend/ad.onbegroeidTerreindeel_v,
GRVERH,/bgt.onbegroeidTerreindeelKruin_l,Opdelend/ad.onbegroeidTerreindeelKruin_l,
GRVERH,/bgt.ondersteunendWaterdeel_v,Opdelend/ad.ondersteunendWaterdeel_v,
GRVERH,/bgt.ondersteunendWegdeel_v,Opdelend/ad.ondersteunendWegdeel_v,
GRVERH,/bgt.ondersteunendWegdeel_v,Opdelend/ad.ondersteunendWegdeelPlantvak_v,fysiekvoorkomen = groenvoorziening
