Areaal,source,target,mapping
MEUBHOV,Inrichtend/ad.bak_p,/*-**-IE-MEUBILAIR_WEGMEUBILAIR-S,typespec = Afvalbak
MEUBHOV,Inrichtend/ad.bord_p,/*-**-VW-VERKEERSTEKEN_BORD-S,typespec = Verkeersbord
MEUBHOV,Inrichtend/ad.bord_p,/*-**-IE-MEUBILAIR_WEGMEUBILAIR_SCHRIKHEK-G,typespec = Waarschuwingshek
MEUBHOV,Inrichtend/ad.bord_p,/*-**-KL-BRANDSTOF_LOCATIEPAAL-G/S,typespec = Verklikker transportleiding
MEUBHOV,Inrichtend/ad.bord_p,/*-**-KL-DRIP-G,typespec = Dynamische snelheidsindicator
MEUBHOV,Inrichtend/ad.bordScheepvaart_p,/*-**-VV-VERKEERSTEKEN-G,typespec = Scheepvaartbord
MEUBHOV,Inrichtend/ad.bordWegwijzer_p,/*-**-VW-BEWEGWIJZERING_DRAAGCONSTRUCTIE-S,typespec = Wegwijzer
MEUBHOV,Inrichtend/ad.bordZwemwater_p,/nlcs.x,
MEUBHOV,buitenFds/ad.concessieverlener_tbl,/nlcs.x,
MEUBHOV,/bgt.x,/ad.x,
MEUBHOV,Inrichtend/ad.fietsparkeervoorziening_l,/nlcs.x,
MEUBHOV,Inrichtend/ad.gebouwInstallatie_v,/nlcs.x,
MEUBHOV,Functioneel/ad.halte_v,/nlcs.x,
MEUBHOV,Inrichtend/ad.kast_p,/*-**-KL-DATA_CAI_KAST-S,typespec = CAI-kast
MEUBHOV,Inrichtend/ad.kast_p,/*-**-KL-DATA_TELECOM_KAST-S,typespec = Telecom kast
MEUBHOV,Inrichtend/ad.kast_p,/*-**-KL-GMS-G,typespec = GMS kast
MEUBHOV,Opdelend/ad.overigBouwwerk_v,/*-**-IE-MEUBILAIR_WEGMEUBILAIR_TANK-GV,typespec = opslagtank
MEUBHOV,Inrichtend/ad.overigeScheiding_l,/*-**-FV-GELEIDING_WILDRASTER-G,typespec = Faunaraster
MEUBHOV,Inrichtend/ad.overigeScheiding_v,/nlcs.x,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/*-**-IE-MEUBILAIR_WEGMEUBILAIR-S,NLCS-symbool: SIE:SIE-WEG_PRAATPAAL / typespec = Praatpaal
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/*-**-IE-MEUBILAIR_WEGMEUBILAIR-S,NLCS-symbool: SIE:SIE-WEG_GRENSPAAL / typespec = Grensmarkering
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/*-**-KL-TELPUNT-G,typespec = Telpaal
