Areaal,source,target,mapping,,
ALG,/bgt.x,buitenFds/ad.adres_tbl,,,
ALG,buitenFds/ad.adres_tbl,/nlcs.x,,,
ALG,Functioneel/ad.functioneelGebied_v,/nlcs.x,,,
ALG,Functioneel/ad.gebiedscontractregio_v,/nlcs.x,,,
ALG,Opdelend/ad.ongeclassificeerdObject_v,/nlcs.x,,,
ALG,Opdelend/ad.overbruggingsdeel_v,/*-**-KW-KUNSTWERK_LANDHOOFD-GV,typespec = Landhoofd,,
ALG,Opdelend/ad.overbruggingsdeel_v,/*-**-KW-KUNSTWERK_PIJLER-GV,typespec = Pijler,,
ALG,Opdelend/ad.overbruggingsdeel_v,/*-**-KW-KUNSTWERK_BRUG-GV,typespec = Brug,,
ALG,Opdelend/ad.overbruggingsdeel_v,/*-**-KW-KUNSTWERK_AQUADUCT-GV,typespec = Aquaduct,,
ALG,Opdelend/ad.overbruggingsdeel_v,/*-**-KW-KUNSTWERK_VIADUCT-GV,typespec = Viaduct,,
ALG,Opdelend/ad.overbruggingsdeel_v,/*-**-KW-KUNSTWERK_FLYOVER-GV,typespec = Fly-over,,
ALG,Opdelend/ad.pand_v,/nlcs.x,,,
ALG,buitenFds/ad.plaatsbepalingspunt_p,/nlcs.x,,,
ALG,/bgt.x,Functioneel/ad.theorHectometrering_p,,,
ALG,Functioneel/ad.theorHectometrering_p,/nlcs.x,,,
ALG,Functioneel/ad.traject_v,/nlcs.x,,,
ALG,Opdelend/ad.tunneldeel_v,/*-**-KW-KUNSTWERK_TUNNEL-GV,typespec = Tunneldeel,,
ALG,/bgt.functioneelGebied_v,Functioneel/ad.functioneelGebied_v,,,
ALG,/bgt.ongeclassificeerdObject_v,Opdelend/ad.ongeclassificeerdObject_v,,,
ALG,/bgt.openbareRuimte_v,/ad.x,,,
ALG,/bgt.openbareRuimteLabel_v,/ad.x,,,
ALG,/bgt.pand_v,Opdelend/ad.pand_v,,,
ALG,/bgt.pandHuisnummerreeks_t,Opdelend/ad.pandHuisnummerreeks_t,,,
ALG,Opdelend/ad.pandHuisnummerreeks_t,/nlcs.x,,,
ALG,/bgt.plaatsbepalingspunt_p,buitenFds/ad.plaatsbepalingspunt_p,,,
ALG,/bgt.waterschap_v,/ad.x,,,
ALG,/bgt.wijk_v,/ad.x,,,
ALG,/bgt.x,Functioneel/ad.gebiedscontractregio_v,,,
ALG,/bgt.x,Functioneel/ad.traject_v,,,
KW,/bgt.x,buitenFds/ad.bouwdeelGeluidsscherm_tbl,,,
KW,buitenFds/ad.bouwdeelGeluidsscherm_tbl,/nlcs.x,,,
